"","_id","CIVIC_CENTRE","DEATH_LICENSES","PLACE_OF_DEATH","TIME_PERIOD"
"479",24146,"SC",373,"Toronto","2017-06"
"480",24147,"ET",133,"Outside City Limits","2017-07"
"481",24148,"ET",255,"Toronto","2017-07"
"482",24149,"NY",82,"Outside City Limits","2017-07"
"483",24150,"NY",268,"Toronto","2017-07"
"484",24151,"SC",92,"Outside City Limits","2017-07"
"485",24152,"SC",448,"Toronto","2017-07"
"486",24153,"ET",128,"Outside City Limits","2017-08"
"487",24154,"ET",348,"Toronto","2017-08"
"488",24155,"NY",82,"Outside City Limits","2017-08"
"489",24156,"NY",277,"Toronto","2017-08"
"490",24157,"SC",113,"Outside City Limits","2017-08"
"491",24158,"SC",602,"Toronto","2017-08"
"492",24159,"ET",140,"Outside City Limits","2017-09"
"493",24160,"ET",471,"Toronto","2017-09"
"494",24161,"NY",51,"Outside City Limits","2017-09"
"495",24162,"NY",239,"Toronto","2017-09"
"496",24163,"SC",87,"Outside City Limits","2017-09"
"497",24164,"SC",360,"Toronto","2017-09"
"498",24165,"ET",172,"Outside City Limits","2017-10"
"499",24166,"ET",521,"Toronto","2017-10"
"500",24167,"NY",94,"Outside City Limits","2017-10"
"501",24168,"NY",289,"Toronto","2017-10"
"502",24169,"SC",70,"Outside City Limits","2017-10"
"503",24170,"SC",477,"Toronto","2017-10"
"504",24171,"ET",129,"Outside City Limits","2017-11"
"505",24172,"ET",387,"Toronto","2017-11"
"506",24173,"NY",84,"Outside City Limits","2017-11"
"507",24174,"NY",358,"Toronto","2017-11"
"508",24175,"SC",99,"Outside City Limits","2017-11"
"509",24176,"SC",540,"Toronto","2017-11"
"510",24177,"ET",44,"Outside City Limits","2017-12"
"511",24178,"ET",184,"Toronto","2017-12"
"512",24179,"NY",56,"Outside City Limits","2017-12"
"513",24180,"NY",125,"Toronto","2017-12"
"514",24181,"SC",64,"Outside City Limits","2017-12"
"515",24182,"SC",295,"Toronto","2017-12"
"516",24183,"ET",248,"Outside City Limits","2018-01"
"517",24184,"ET",605,"Toronto","2018-01"
"518",24185,"NY",103,"Outside City Limits","2018-01"
"519",24186,"NY",501,"Toronto","2018-01"
"520",24187,"SC",188,"Outside City Limits","2018-01"
"521",24188,"SC",766,"Toronto","2018-01"
"522",24189,"ET",193,"Outside City Limits","2018-02"
"523",24190,"ET",440,"Toronto","2018-02"
"524",24191,"NY",46,"Outside City Limits","2018-02"
"525",24192,"NY",262,"Toronto","2018-02"
"526",24193,"SC",142,"Outside City Limits","2018-02"
"527",24194,"SC",648,"Toronto","2018-02"
"528",24195,"ET",126,"Outside City Limits","2018-03"
"529",24196,"ET",463,"Toronto","2018-03"
"530",24197,"NY",81,"Outside City Limits","2018-03"
"531",24198,"NY",292,"Toronto","2018-03"
"532",24199,"SC",141,"Outside City Limits","2018-03"
"533",24200,"SC",655,"Toronto","2018-03"
"534",24201,"ET",95,"Outside City Limits","2018-04"
"535",24202,"ET",320,"Toronto","2018-04"
"536",24203,"NY",37,"Outside City Limits","2018-04"
"537",24204,"NY",206,"Toronto","2018-04"
